experiment,iteration,sigma,attributes,objects,closure
176,2,487,2,5,7
176,3,485,3,0,10
177,0,814,985,446,0
177,1,507,3,7,2
177,2,487,3,5,7
177,3,261,3,0,12
178,0,814,985,446,0
178,1,507,2,7,2
178,2,487,4,5,7
178,3,392,2,0,13
179,0,814,985,446,0
179,1,503,2,7,3
179,2,491,3,0,6
180,0,814,985,446,0
180,1,507,3,7,2
180,2,487,2,5,7
180,3,485,3,0,10
181,0,814,985,446,0
181,1,507,3,7,2
181,2,505,2,0,4
182,0,814,985,446,0
182,1,350,2,6,3
182,2,342,3,0,5
183,0,814,985,446,0
183,1,524,2,5,3
183,2,435,3,1,7
184,0,814,985,446,0
184,1,390,4,5,3
184,2,382,2,0,5
185,0,814,985,446,0
185,1,507,2,7,2
185,2,352,3,0,4
186,0,814,985,446,0
186,1,532,4,5,3
186,2,529,2,3,5
186,3,518,2,3,7
186,4,429,4,0,11
187,0,814,985,446,0
187,1,507,2,7,2
187,2,487,3,5,7
187,3,485,4,0,10
188,0,814,985,446,0
188,1,507,2,7,2
188,2,491,4,6,5
188,3,487,4,5,7
188,4,263,3,0,11
189,0,814,985,446,0
189,1,507,3,7,2
189,2,352,4,0,4
190,0,814,985,446,0
190,1,507,4,7,2
190,2,352,3,0,4
191,0,814,985,446,0
191,1,507,4,7,2
191,2,487,3,5,7
191,3,474,3,0,11
192,0,814,985,446,0
192,1,518,4,5,3
192,2,442,3,4,6
192,3,351,3,4,14
192,4,220,4,0,16
193,0,814,985,446,0
193,1,507,3,7,2
193,2,487,4,5,7
193,3,472,2,0,10
194,0,814,985,446,0
194,1,507,3,7,2
194,2,487,3,5,7
194,3,485,3,0,10
195,0,814,985,446,0
195,1,364,4,5,3
195,2,356,2,0,5
196,0,814,985,446,0
196,1,529,2,6,4
196,2,379,3,0,7
197,0,814,985,446,0
197,1,524,2,5,3
197,2,520,3,0,5
198,0,814,985,446,0
198,1,507,3,7,2
198,2,433,3,0,6
199,0,814,985,446,0
199,1,518,3,5,3
199,2,442,3,4,6
199,3,440,3,0,8
200,0,814,985,446,0
200,1,507,3,7,2
200,2,343,2,1,4
201,0,814,985,446,0
201,1,508,4,6,2
201,2,491,4,0,5
202,0,814,985,446,0
202,1,391,4,6,2
202,2,383,4,0,4
203,0,814,985,446,0
203,1,507,2,7,2
203,2,280,3,0,7
204,0,814,985,446,0
204,1,507,3,7,2
204,2,487,2,5,7
204,3,485,3,0,10
205,0,814,985,446,0
205,1,507,3,7,2
205,2,487,4,5,7
205,3,483,3,0,9
206,0,814,985,446,0
206,1,507,2,7,2
206,2,346,4,0,6
207,0,814,985,446,0
207,1,507,2,7,2
207,2,487,4,5,7
207,3,485,3,0,10
208,0,814,985,446,0
208,1,507,3,7,2
208,2,487,3,5,7
208,3,485,4,0,10
209,0,814,985,446,0
209,1,507,3,6,3
209,2,299,2,0,7
210,0,814,985,446,0
210,1,507,2,7,2
210,2,487,3,5,7
210,3,485,3,0,10
211,0,814,985,446,0
211,1,507,3,7,2
211,2,487,2,5,7
211,3,485,4,0,10
212,0,814,985,446,0
212,1,480,4,5,3
212,2,476,2,0,5
213,0,814,985,446,0
213,1,507,2,7,2
213,2,487,2,5,7
213,3,485,3,0,10
214,0,814,985,446,0
214,1,507,2,7,2
214,2,487,4,5,7
214,3,333,3,0,9
215,0,814,985,446,0
215,1,507,2,7,2
215,2,487,2,5,7
215,3,485,3,0,10
216,0,814,985,446,0
216,1,507,2,7,2
216,2,497,2,0,5
217,0,814,985,446,0
217,1,391,4,5,3
217,2,383,2,0,5
218,0,814,985,446,0
218,1,507,3,7,2
218,2,349,3,0,7
219,0,814,985,446,0
219,1,507,3,7,2
219,2,487,3,5,7
219,3,485,4,0,10
220,0,814,985,446,0
220,1,507,3,7,2
220,2,487,4,5,7
220,3,485,3,0,10
221,0,814,985,446,0
221,1,507,4,7,2
221,2,487,3,5,7
221,3,304,4,0,11
222,0,814,985,446,0
222,1,507,3,7,2
222,2,321,4,0,5
223,0,814,985,446,0
223,1,507,3,7,2
223,2,485,4,0,5
224,0,814,985,446,0
224,1,507,3,7,2
224,2,440,3,0,5
225,0,814,985,446,0
225,1,507,4,7,2
225,2,487,2,5,7
225,3,485,3,0,10
226,0,814,985,446,0
226,1,507,4,7,2
226,2,411,3,0,6
227,0,814,985,446,0
227,1,507,4,7,2
227,2,487,4,5,7
227,3,485,2,0,10
228,0,814,985,446,0
228,1,507,4,7,2
228,2,487,3,5,7
228,3,333,3,0,9
229,0,814,985,446,0
229,1,507,4,7,2
229,2,487,4,5,7
229,3,485,3,0,10
230,0,814,985,446,0
230,1,507,3,6,3
230,2,299,3,0,7
231,0,814,985,446,0
231,1,480,4,5,3
231,2,476,3,0,5
232,0,814,985,446,0
232,1,507,4,7,2
232,2,487,3,5,7
232,3,485,4,0,10
233,0,814,985,446,0
233,1,507,2,7,2
233,2,487,4,5,7
233,3,256,3,0,11
234,0,814,985,446,0
234,1,507,3,7,2
234,2,487,2,5,7
234,3,333,2,0,9
235,0,814,985,446,0
235,1,507,4,7,2
235,2,487,3,5,7
235,3,272,2,0,11
236,0,814,985,446,0
236,1,507,2,7,2
236,2,352,3,0,4
237,0,814,985,446,0
237,1,507,2,7,2
237,2,295,4,0,6
238,0,814,985,446,0
238,1,507,3,7,2
238,2,487,4,5,7
238,3,485,3,0,10
239,0,814,985,446,0
239,1,507,4,7,2
239,2,487,4,5,7
239,3,333,2,0,9
240,0,814,985,446,0
240,1,521,4,6,4
240,2,432,4,0,8
241,0,814,985,446,0
241,1,507,2,7,2
241,2,487,4,5,7
241,3,485,3,0,10
242,0,814,985,446,0
242,1,507,4,7,2
242,2,487,3,5,7
242,3,485,2,0,10
243,0,814,985,446,0
243,1,520,2,5,3
243,2,470,3,0,6
244,0,814,985,446,0
244,1,506,4,5,3
244,2,486,3,0,6
245,0,814,985,446,0
245,1,507,3,7,2
245,2,487,3,5,7
245,3,485,2,0,10
246,0,814,985,446,0
246,1,507,3,7,2
246,2,487,3,5,7
246,3,485,3,0,10
247,0,814,985,446,0
247,1,385,2,11,2
247,2,377,4,0,4
248,0,814,985,446,0
248,1,507,3,7,2
248,2,487,4,5,7
248,3,483,3,0,9
249,0,814,985,446,0
249,1,507,3,6,3
249,2,299,3,0,7
250,0,814,985,446,0
250,1,507,2,7,2
250,2,487,3,5,7
250,3,485,3,0,10
251,0,814,985,446,0
251,1,485,2,5,3
251,2,483,3,0,6
252,0,814,985,446,0
252,1,507,3,7,2
252,2,487,3,5,7
252,3,256,2,0,12
253,0,814,985,446,0
253,1,507,2,7,2
253,2,487,3,5,7
253,3,333,4,0,9
254,0,814,985,446,0
254,1,507,4,7,2
254,2,487,3,5,7
254,3,485,3,0,10
255,0,814,985,446,0
255,1,507,4,7,2
255,2,411,4,0,6
256,0,814,985,446,0
256,1,507,4,7,2
256,2,487,3,5,7
256,3,485,2,0,10
257,0,814,985,446,0
257,1,507,2,7,2
257,2,487,2,5,7
257,3,485,2,0,10
258,0,814,985,446,0
258,1,528,2,5,3
258,2,301,4,1,7
259,0,814,985,446,0
259,1,507,2,7,2
259,2,487,3,5,7
259,3,485,3,0,10
260,0,814,985,446,0
260,1,507,2,7,2
260,2,487,2,5,7
260,3,485,3,0,10
261,0,814,985,446,0
261,1,507,3,7,2
261,2,440,3,0,5
262,0,814,985,446,0
262,1,507,2,7,2
262,2,487,3,5,7
262,3,485,3,0,10
263,0,814,985,446,0
263,1,507,3,7,2
263,2,477,3,0,5
264,0,814,985,446,0
264,1,507,4,7,2
264,2,327,3,0,5
265,0,814,985,446,0
265,1,507,3,7,2
265,2,487,2,5,7
265,3,457,3,0,10
266,0,814,985,446,0
266,1,427,3,5,4
266,2,270,3,0,8
267,0,814,985,446,0
267,1,507,3,7,2
267,2,491,4,6,5
267,3,487,3,5,7
267,4,333,4,0,9
268,0,814,985,446,0
268,1,507,4,7,2
268,2,329,4,0,7
269,0,814,985,446,0
269,1,535,2,5,3
269,2,520,3,0,5
270,0,814,985,446,0
270,1,507,3,7,2
270,2,465,4,0,5
271,0,814,985,446,0
271,1,350,4,6,3
271,2,342,3,0,5
272,0,814,985,446,0
272,1,507,3,7,2
272,2,487,4,5,7
272,3,485,2,0,10
273,0,814,985,446,0
273,1,507,3,7,2
273,2,349,2,0,7
274,0,814,985,446,0
274,1,507,3,7,2
274,2,487,4,5,7
274,3,240,3,0,12
275,0,814,985,446,0
275,1,507,2,7,2
275,2,440,2,0,5
276,0,814,985,446,0
276,1,507,4,7,2
276,2,423,3,0,5
277,0,814,985,446,0
277,1,502,4,5,3
277,2,351,3,4,13
277,3,73,4,0,21
278,0,814,985,446,0
278,1,507,3,7,2
278,2,352,2,0,4
279,0,814,985,446,0
279,1,535,3,5,3
279,2,520,3,0,5
280,0,814,985,446,0
280,1,507,4,7,2
280,2,298,4,0,5
281,0,814,985,446,0
281,1,506,2,5,3
281,2,501,4,0,5
282,0,814,985,446,0
282,1,484,3,5,3
282,2,327,2,0,6
283,0,814,985,446,0
283,1,507,4,7,2
283,2,459,2,0,5
284,0,814,985,446,0
284,1,507,2,7,2
284,2,501,2,0,5
285,0,814,985,446,0
285,1,507,3,7,2
285,2,487,3,5,7
285,3,444,3,0,10
286,0,814,985,446,0
286,1,507,2,6,3
286,2,317,2,5,5
286,3,299,2,0,7
287,0,814,985,446,0
287,1,507,4,7,2
287,2,487,2,5,7
287,3,250,2,0,12
288,0,814,985,446,0
288,1,507,4,7,2
288,2,352,3,0,4
289,0,814,985,446,0
289,1,391,4,5,2
289,2,344,3,0,5
290,0,814,985,446,0
290,1,507,3,7,2
290,2,487,4,5,7
290,3,485,2,0,10
291,0,814,985,446,0
291,1,507,4,7,2
291,2,505,3,0,4
292,0,814,985,446,0
292,1,507,4,7,2
292,2,440,4,0,5
293,0,814,985,446,0
293,1,391,4,5,3
293,2,333,4,0,6
294,0,814,985,446,0
294,1,507,3,7,2
294,2,487,3,5,7
294,3,485,2,0,10
295,0,814,985,446,0
295,1,507,2,7,2
295,2,487,2,5,7
295,3,332,3,0,9
296,0,814,985,446,0
296,1,507,4,7,2
296,2,487,4,5,7
296,3,332,3,0,10
297,0,814,985,446,0
297,1,507,3,7,2
297,2,485,3,0,5
298,0,814,985,446,0
298,1,507,3,7,2
298,2,487,3,5,7
298,3,421,3,0,10
299,0,814,985,446,0
299,1,507,3,7,2
299,2,487,2,5,7
299,3,485,2,0,10
300,0,814,985,446,0
300,1,507,2,7,2
300,2,487,2,5,7
300,3,456,4,0,10
301,0,814,985,446,0
301,1,507,3,7,2
301,2,352,3,0,4
302,0,814,985,446,0
302,1,529,4,6,4
302,2,485,2,0,8
303,0,814,985,446,0
303,1,368,3,5,3
303,2,293,4,0,6
304,0,814,985,446,0
304,1,507,3,7,2
304,2,501,3,0,5
305,0,814,985,446,0
305,1,391,4,6,2
305,2,383,4,0,4
306,0,814,985,446,0
306,1,507,2,7,2
306,2,370,2,0,9
307,0,814,985,446,0
307,1,507,3,7,2
307,2,487,4,5,7
307,3,485,3,0,10
308,0,814,985,446,0
308,1,518,2,5,3
308,2,469,3,0,7
309,0,814,985,446,0
309,1,507,3,7,2
309,2,443,4,0,5
310,0,814,985,446,0
310,1,507,3,7,2
310,2,487,3,0,5
311,0,814,985,446,0
311,1,507,3,7,2
311,2,487,3,5,7
311,3,485,3,0,10
312,0,814,985,446,0
312,1,507,3,7,2
312,2,352,3,0,4
313,0,814,985,446,0
313,1,528,3,5,3
313,2,333,3,0,6
314,0,814,985,446,0
314,1,507,3,7,2
314,2,352,3,0,4
315,0,814,985,446,0
315,1,507,3,7,2
315,2,491,4,6,5
315,3,307,3,0,9
316,0,814,985,446,0
316,1,535,4,5,3
316,2,520,3,0,5
317,0,814,985,446,0
317,1,507,4,7,2
317,2,440,4,0,5
318,0,814,985,446,0
318,1,391,4,5,2
318,2,383,2,0,4
319,0,814,985,446,0
319,1,507,3,7,2
319,2,487,3,5,7
319,3,485,3,0,10
320,0,814,985,446,0
320,1,507,2,7,2
320,2,352,3,0,4
321,0,814,985,446,0
321,1,485,3,5,3
321,2,303,2,0,6
322,0,814,985,446,0
322,1,488,3,6,3
322,2,338,2,0,5
323,0,814,985,446,0
323,1,391,4,5,3
323,2,370,3,1,6
324,0,814,985,446,0
324,1,507,3,7,2
324,2,487,4,5,7
324,3,485,4,0,10
325,0,814,985,446,0
325,1,507,3,7,2
325,2,487,3,0,5
326,0,814,985,446,0
326,1,527,3,6,3
326,2,487,2,5,7
326,3,272,4,0,11
327,0,814,985,446,0
327,1,507,3,7,2
327,2,442,2,0,5
328,0,814,985,446,0
328,1,507,2,7,2
328,2,492,2,0,4
329,0,814,985,446,0
329,1,507,4,6,3
329,2,299,4,0,7
330,0,814,985,446,0
330,1,362,3,5,3
330,2,354,4,0,5
331,0,814,985,446,0
331,1,507,4,7,2
331,2,487,3,5,7
331,3,485,2,0,10
332,0,814,985,446,0
332,1,507,3,7,2
332,2,487,3,5,7
332,3,472,4,0,10
333,0,814,985,446,0
333,1,391,4,6,2
333,2,383,4,0,4
334,0,814,985,446,0
